Dataset,K,GPUType,GPUCount,BlockSize,TotalExecutionTime(s),GPUExecutionTime(s),MemoryUsage(MB),Accuracy(%)
CIFAR-10,5,Tesla P100-PCIE-12GB,1,1024,137.0615,135.7013,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,1024,157.6587,156.2169,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,1024,423.4384,422.0667,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,1024,1.4504,0.0000,1528.0000,0.0000

MNIST,1,Tesla P100-PCIE-12GB,1,256,48.3231,47.8217,182.0000,96.9100
MNIST-Batched,1,Tesla P100-PCIE-12GB,1,256,40.9517,40.6105,2502.0000,96.9100
CIFAR-10,1,Tesla P100-PCIE-12GB,1,256,157.6026,156.2164,588.0000,35.3900
CIFAR-10-Batched,1,Tesla P100-PCIE-12GB,1,256,155.8257,154.3873,2614.0000,35.3900
STL-10,1,Tesla P100-PCIE-12GB,1,256,62.6393,61.3148,530.0000,26.5125
STL-10-Batched,1,Tesla P100-PCIE-12GB,1,256,1.4478,0.0000,1528.0000,0.0000
MNIST,5,Tesla P100-PCIE-12GB,1,256,48.3483,47.8319,182.0000,96.8800
MNIST-Batched,5,Tesla P100-PCIE-12GB,1,256,40.9712,40.6291,2502.0000,96.8800
CIFAR-10,5,Tesla P100-PCIE-12GB,1,256,157.5693,156.2110,588.0000,33.9800
CIFAR-10-Batched,5,Tesla P100-PCIE-12GB,1,256,156.0516,154.6097,2614.0000,33.9800
STL-10,5,Tesla P100-PCIE-12GB,1,256,62.6934,61.3231,530.0000,26.9250
STL-10-Batched,5,Tesla P100-PCIE-12GB,1,256,1.4488,0.0000,1528.0000,0.0000
MNIST,25,Tesla P100-PCIE-12GB,1,256,48.2906,47.8206,182.0000,96.0900
MNIST-Batched,25,Tesla P100-PCIE-12GB,1,256,41.1086,40.7700,2502.0000,96.0900
CIFAR-10,25,Tesla P100-PCIE-12GB,1,256,157.5654,156.2060,588.0000,33.4700
CIFAR-10-Batched,25,Tesla P100-PCIE-12GB,1,256,156.0625,154.6212,2614.0000,33.4700
STL-10,25,Tesla P100-PCIE-12GB,1,256,62.7023,61.3473,530.0000,26.4250
STL-10-Batched,25,Tesla P100-PCIE-12GB,1,256,1.4486,0.0000,1528.0000,0.0000
MNIST,125,Tesla P100-PCIE-12GB,1,256,48.3394,47.8381,182.0000,93.9200
MNIST-Batched,125,Tesla P100-PCIE-12GB,1,256,41.6201,41.2796,2508.0000,93.9200
CIFAR-10,125,Tesla P100-PCIE-12GB,1,256,157.6528,156.2903,588.0000,30.7800
CIFAR-10-Batched,125,Tesla P100-PCIE-12GB,1,256,156.8999,155.4592,2620.0000,30.7800
STL-10,125,Tesla P100-PCIE-12GB,1,256,62.6708,61.3023,530.0000,24.4125
STL-10-Batched,125,Tesla P100-PCIE-12GB,1,256,1.4440,0.0000,1532.0000,0.0000
MNIST,245,Tesla P100-PCIE-12GB,1,256,48.3885,47.8477,182.0000,92.3800
MNIST-Batched,245,Tesla P100-PCIE-12GB,1,256,42.2830,41.9365,2512.0000,92.3800
CIFAR-10,224,Tesla P100-PCIE-12GB,1,256,157.7010,156.3140,588.0000,29.2300
CIFAR-10-Batched,224,Tesla P100-PCIE-12GB,1,256,157.6106,156.1743,2624.0000,29.2300
STL-10,71,Tesla P100-PCIE-12GB,1,256,62.6636,61.3142,530.0000,25.1000
STL-10-Batched,71,Tesla P100-PCIE-12GB,1,256,1.4529,0.0000,1532.0000,0.0000
